#{"t_start": 1756442955.117941, "env_id": "LunarLander-v3"}
r,l,t
-165.685569,108,45.319273
-116.285826,65,45.361315
-198.958675,110,45.432386
-71.103291,122,45.510947
-251.86637,105,45.564538
-106.551247,57,45.602456
-81.268493,69,45.638538
-41.51924,113,45.719628
-162.612979,87,45.765811
-262.798382,103,45.828821
-334.224425,92,45.882048
-247.589287,138,45.967896
-410.348083,115,46.032978
-126.51232,79,46.083919
-433.936579,96,46.135936
-137.560391,112,46.208394
-152.497898,89,46.253325
-113.344229,76,46.321534
-112.248459,74,46.380064
-155.947606,82,46.427087
-89.842733,74,46.465634
-96.629664,102,47.60575
-125.815586,68,47.649773
-221.003877,90,47.715937
-130.257476,72,47.762494
-124.341002,121,47.841914
-249.922454,96,47.922081
-145.749189,80,47.966086
-68.371613,67,48.003881
-343.364117,104,48.071352
-174.240405,74,48.112811
-108.668105,68,48.15812
-148.362063,125,48.226738
-125.287186,85,48.278363
-311.046093,90,48.325271
-110.752866,78,48.376157
-373.579472,98,48.429127
-121.94367,100,48.488408
-149.871905,66,48.527493
-41.769541,73,48.566944
-88.308193,61,48.63194
-216.294535,132,48.713495
-108.548261,91,48.760564
-115.636747,70,48.814151
-89.200697,82,48.860761
-165.237482,121,49.9684
-134.821079,62,50.054486
-97.839861,60,50.100395
-117.232393,78,50.156187
-103.588561,108,50.221534
-84.979349,121,50.295331
-148.22034,107,50.361771
-145.684635,102,50.419865
-99.470918,104,50.484752
-168.451241,124,50.551926
-33.013367,159,50.64545
-74.736804,72,50.683218
-177.32755,115,50.754421
-121.071912,113,50.829044
-84.607896,95,50.882076
-77.608277,74,50.928069
-156.882201,105,50.984857
-123.543942,85,51.03778
-80.119305,62,51.073884
-80.995692,70,51.112219
-258.380085,121,51.184358
-93.136031,83,52.345211
-426.15789,108,52.412285
-97.11682,77,52.468361
-90.441123,96,52.526366
-191.633152,102,52.593556
-304.642634,83,52.641566
-241.860956,103,52.704244
-275.399785,108,52.80158
-54.496667,83,52.846649
-196.977822,78,52.896055
-63.280911,81,52.939054
-110.359223,125,53.015388
-97.653014,90,53.063483
-60.667216,85,53.116354
-68.841966,65,53.154429
-115.014959,96,53.204152
-159.533264,68,53.248163
-58.013072,80,53.294878
-89.077998,106,53.362238
-79.593017,84,53.407894
-91.032113,71,53.454973
-163.809346,105,53.515657
-179.191792,85,53.568364
-61.941279,89,54.702618
-152.518738,94,54.76763
-128.362279,129,54.849924
-132.344535,122,54.928772
-181.219801,124,55.003019
-69.977188,69,55.041934
-87.370318,64,55.078782
-67.482373,104,55.14301
-90.678533,120,55.212695
-100.601953,115,55.277552
-112.859188,72,55.314624
-175.671967,153,55.413779
-65.240056,70,55.49106
-66.769574,105,55.553177
-283.908397,132,55.62988
-268.445672,144,55.714866
-93.842564,87,55.768382
-139.345382,114,55.830389
-170.110207,141,55.912914
